recommendationid,response_length
51171015,1.8750612633916997
48434843,3.1482940974347455
49730158,2.4800069429571505
149973515,2.4345689040341987
149618805,2.5658478186735176
136210293,2.753583058892906
122210273,2.985875357308393
73172855,2.844477175745681
70648654,3.321184027302314
61970317,2.849419413796899
51311396,1.8750612633916997
48910893,3.039414119176137
48593037,2.787460474518415
155953357,2.110589710299249
152707755,2.1205739312058496
152564110,2.575187844927661
131784587,2.2479732663618064
129736529,2.4313637641589874
77062612,2.2329961103921536
75121868,1.8976270912904412
72254456,2.8926510338773
71431621,1.8976270912904412
58966464,2.252853030979893
54606597,2.5024271199844326
50551203,2.2671717284030133
50448182,2.4712917110589383
48956290,2.3180633349627615
48890682,2.045322978786657
48760443,2.3384564936046046
48749568,2.176091259055681
48739417,2.326335860928751
48738476,2.3384564936046046
48727369,2.1931245983544616
48720263,2.278753600952829
48713451,2.0791812460476247
48686370,2.3242824552976926
48685420,2.376576957056512
48668298,1.9822712330395682
48659268,2.1673173347481756
48658638,2.123851640967086
48657677,2.9903388547876015
48656859,2.624282095835668
124571898,2.1846914308175984
120015695,2.681241237375587
106132667,2.537819095073274
72639078,2.4345689040341987
69162968,2.521138083704036
63829088,2.683047038238849
54750070,2.9689496809813423
160300903,2.5024271199844326
153260195,1.8061799739838869
153022362,1.8061799739838869
152953165,1.9084850188786497
92124344,2.2988530764097064
73589538,3.087426457036285
69790774,1.4771212547196624
65213001,2.1335389083702174
64754166,2.6766936096248664
55169123,2.4593924877592306
50042003,1.5440680443502754
49543791,2.1367205671564067
60455687,2.1643528557844367
160177517,2.397940008672037
153737898,2.0969100130080562
129063597,1.9542425094393248
128756732,2.0
128698240,2.117271295655764
128687152,2.296665190261531
50689328,2.2304489213782737
161811420,2.4712917110589383
158903157,2.3159703454569174
158686750,2.390935107103379
151360402,2.792391689498254
143325892,2.929418925714293
142098576,2.322219294733919
142096678,2.322219294733919
141433986,2.447158031342219
140946414,3.124178055474675
140438264,2.506505032404872
138591256,2.849419413796899
138122084,2.1643528557844367
137878645,2.342422680822206
137303055,2.9041743682841634
132957275,2.2380461031287955
132822300,2.7435097647284294
131715210,1.9138138523837167
130416594,2.301029995663981
128562102,2.6893088591236203
127916173,1.6127838567197355
127335136,2.4857214264815797
125553130,2.513217600067939
123826303,2.45484486000851
123382290,2.4393326938302624
122000424,2.382017042574868
121704297,2.5575072019056577
120930726,2.5415792439465807
120532395,2.580924975675619
119847123,2.6998377258672455
119584091,2.220108088040055
119383240,2.636487896353365
118962420,2.4183012913197452
118951874,2.5403294747908736
117741036,2.507855871695831
117461277,1.7708520116421442
116687813,2.5502283530550938
116451122,2.6981005456233897
116440824,2.3180633349627615
115870155,2.53529412004277
115743386,2.4941545940184424
113544790,2.320146286111054
113532292,1.7481880270062005
112422094,2.5526682161121927
108661192,2.598790506763115
102748815,2.02530586526477
102157828,2.4578818967339924
102064615,2.214843848047698
101904029,2.217483944213906
101546870,2.34439227368511
100112947,2.374748346010104
99801275,2.5658478186735176
63840205,2.181843587944772
59411603,1.8976270912904412
57309652,2.1673173347481756
56989463,2.41161970596323
55476373,2.2855573090077734
55453371,2.663700925389648
55448526,2.663700925389648
55413081,1.9294189257142926
55408490,2.2741578492636796
55336527,2.6803355134145628
55326323,2.5705429398818973
110789961,1.7708520116421442
55288506,2.1139433523068365
79687824,2.7909884750888154
67564044,2.021189299069938
52204895,2.555094448578319
51293580,2.220108088040055
51084118,2.0681858617461617
50725651,2.4800069429571505
50648963,2.4533183400470375
50554865,2.553883026643874
54862878,2.3579348470004535
54754066,2.468347330412157
54543750,2.2355284469075487
54507477,2.1271047983648073
84197012,2.086359830674748
153898651,2.4099331233312946
144550965,2.7881683711411673
140051039,2.2380461031287955
137191690,2.515873843711679
134672258,2.5289167002776547
134182133,2.6674529528899535
133546087,2.3364597338485296
132773986,2.5899496013257073
132616936,2.638489256954637
132197708,2.4742162640762553
133297672,1.9542425094393248
119554212,1.7481880270062005
116825133,2.478566495593843
101684737,2.4031205211758175
101516102,1.724275869600789
101503423,2.2013971243204513
95754192,2.717670503002262
95294819,2.4329692908744054
95202831,2.4456042032735974
94255106,2.1398790864012365
93891431,2.2855573090077734
93853977,2.9656719712201065
91962408,2.383815365980431
91656712,2.1903316981702914
91084173,2.3463529744506384
91054305,2.1673173347481756
90988795,2.271841606536499
90897167,1.8129133566428552
89456891,2.2278867046136734
79609717,2.8567288903828825
79215099,1.8692317197309762
79080518,2.1931245983544616
76380786,0.30102999566398114
75602047,1.851258348719075
74567051,2.45178643552429
74551939,2.45178643552429
71383533,2.305351369446624
69892201,1.9867717342662448
69012764,3.7649975992848805
67631662,1.462397997898956
67139599,1.7323937598229684
66617649,2.0606978403536114
63578441,2.110589710299249
63131968,2.093421685162235
56241846,2.65991620006985
55976407,2.0681858617461617
55796045,1.5314789170422551
55794896,2.0
55791211,2.5763413502057926
55790420,1.6434526764861872
55786140,0.8450980400142567
55782680,2.531478917042255
55781743,2.187520720836463
55778072,2.3891660843645326
55776446,2.503790683057181
55765298,2.382017042574868
55754301,2.290034611362518
55752078,2.1461280356782377
55741884,1.9867717342662448
55741598,1.7634279935629371
55737231,2.4955443375464483
55723719,2.103803720955957
55710460,2.2304489213782737
55661501,2.4712917110589383
55661490,2.2922560713564755
55659085,2.8481891169913984
55657467,2.408239965311849
55651421,2.45178643552429
55650049,2.575187844927661
55646978,2.5327543789924976
55646905,2.6283889300503116
55643971,2.408239965311849
55640081,2.374748346010104
55636927,2.322219294733919
55635728,2.394451680826216
55634911,2.578639209968072
55634903,2.537819095073274
55634732,2.45484486000851
55634621,2.515873843711679
55631065,2.4969296480732144
55631029,2.217483944213906
109429510,2.0
72765424,2.093421685162235
50245636,2.5998830720736876
52505245,2.041392685158225
51005880,2.2380461031287955
49246118,2.2405492482825995
61657292,2.2278867046136734
61477737,2.2278867046136734
60013523,2.2278867046136734
49271671,2.4149733479708178
92158177,2.851869600729766
50983626,2.4955443375464483
86431211,2.4297522800024076
