recommendationid,similarity_between,similarity_inner
50389697,0.5903415619843948,0.6059829950178368
49289090,0.7373616330149367,0.7941732332768755
49817269,0.8159960983395084,0.830020303725174
50372448,0.3972785619673112,0.8000726137870922
49300731,0.4077415138837787,0.8312061080858666
49215473,0.5286963897827713,0.8104690476903257
51084257,0.5514279613467583,0.6358361765937254
49188442,0.8604888772544749,0.8747422105945272
51233621,0.7184664619956521,0.7377632702288095
50074400,0.5393271895358153,0.8070251795815336
50038930,0.48139697590967284,0.6152655205917328
49723235,0.43212143077285514,0.8118723625033748
50233577,0.7213756919612824,0.8077214044697293
49619266,0.6547022292813055,0.8659099291168211
47474687,0.844301730902252,0.8584230489509617
50087220,0.6681107425555802,0.6707052031115233
47689451,0.0861369055509191,0.8214376466127737
55109756,0.807045073618183,0.7931236996259072
49469948,0.6618146343410167,0.7003681802762673
45660576,0.6996505233601069,0.6615301362114236
49301515,0.7251503803788558,0.8125870144103708
49332600,0.7840082266492121,0.7933371909035063
50276629,0.5431295210167377,0.7520553522197356
43920218,0.6998771105786428,0.8428408908445667
43748097,0.6307011606473668,0.7076797615720187
49510916,0.527719031796388,0.8465399765636842
50803970,0.7963674023797276,0.8230403229856228
49342126,0.6715332730838119,0.8103337247331724
50255908,0.7554569487467557,0.848577051667097
50099912,0.5975694828139251,0.7563491075719366
49784016,0.8514821608028134,0.8571205196983273
49730278,0.7127693936824435,0.7664337172989768
50759657,0.5923652648139744,0.7082325186967833
50934977,0.782566095664247,0.75022830680128
55148157,0.3693067859334303,0.8047933175834321
47630835,0.0,0.8628600980024852
43879707,0.770617368299332,0.7824353984224507
47664018,0.5139436754241579,0.7975515406052832
43379472,0.8859981337367295,0.8760250056798441
47915542,0.44342528302428075,0.7588698248445209
45655617,0.3353324092314829,0.7950376349365064
49338325,0.7659869144341145,0.7749887039999088
48263020,0.713438912221286,0.7710341402479601
50123632,0.6127767257761174,0.8348369018831309
49581897,0.5175130962270988,0.7556913286874036
49080426,0.7109856068459736,0.7117856828931758
49346436,0.7223702578228665,0.7527745006774196
49376994,0.6057001024356845,0.7854012045813008
46947864,0.5830351647479457,0.7751035213173787
46882050,0.6896611445714883,0.7801989257595207
49293588,0.6963723385837682,0.8053619549795118
47851849,0.5186907282715357,0.7427923679848234
50536515,0.6886183363191761,0.7339587902896026
48163440,-0.044757068754435074,0.7329886302026141
49288635,0.7692824659327535,0.8104333375395042
41297934,0.8409063744858538,0.8344066906126808
49550129,0.7864913876616199,0.7917650560442802
49811763,0.6228958706095103,0.7894763641729439
50068560,0.7204082272568326,0.8010110276166444
48083595,0.37834031641434474,0.6251096143520214
43882389,0.5906358642762972,0.7320308795331077
50094702,0.648147372765026,0.8230168458186062
48058908,0.7600269277040823,0.8330348512125211
49061489,0.7748625570226414,0.759285324970866
